,Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Item_Outlet_Sales
1336,NCZ06,19.6,Low Fat,0.094694278,Household,254.9698,OUT017,2007,,Tier 2,2536.698
1344,DRK13,11.8,Low Fat,0.115167579,Soft Drinks,199.8084,OUT046,1997,Small,Tier 1,2380.9008
1347,FDF10,15.5,Regular,0.157246634,Snack Foods,145.6418,OUT045,2002,,Tier 2,2207.127
1348,FDQ45,9.5,Regular,0.010917052,Snack Foods,185.3608,OUT046,1997,Small,Tier 1,2021.3688
1350,FDM36,11.65,Regular,0.058719726,Baking Goods,171.1422,OUT035,2004,Small,Tier 2,2931.5174
1352,FDD50,18.85,Low Fat,0.141524348,Canned,168.4132,OUT013,1987,High,Tier 3,2874.9244
1357,FDL46,20.35,Low Fat,0.054056927,Snack Foods,116.8466,OUT046,1997,Small,Tier 1,2356.932
1358,FDC51,10.895,Regular,0.009636821,Dairy,121.873,OUT049,1999,Medium,Tier 1,2463.46
1362,FDA23,9.8,Low Fat,0.047178116,Baking Goods,99.4016,OUT035,2004,Small,Tier 2,2428.8384
1363,FDI46,9.5,Low Fat,0.074496043,Snack Foods,251.9724,OUT045,2002,,Tier 2,2516.724
1366,FDX36,9.695,Regular,0.129008866,Baking Goods,226.9404,OUT017,2007,,Tier 2,2700.4848
1370,FDK20,12.6,Regular,0.041557653,Fruits and Vegetables,124.5072,OUT046,1997,Small,Tier 1,2450.144
1377,FDR55,12.15,reg,0.13283066,Fruits and Vegetables,190.6872,OUT017,2007,,Tier 2,2269.0464
1379,FDG31,,Low Fat,0.037712875,Meat,64.4826,OUT027,1985,Medium,Tier 3,2518.7214
1382,NCB42,11.8,Low Fat,0.008559557,Health and Hygiene,117.2492,OUT035,2004,Small,Tier 2,2432.8332
1388,NCF42,17.35,Low Fat,0.167243769,Household,176.2712,OUT013,1987,High,Tier 3,2988.1104
1390,FDB58,10.5,Regular,0.013551445,Snack Foods,142.0154,OUT018,2009,Medium,Tier 3,2410.8618
1393,FDW19,12.35,Regular,0.038718195,Fruits and Vegetables,110.657,OUT017,2007,,Tier 2,2087.283
1395,FDI41,18.5,Regular,0,Frozen Foods,148.7418,OUT045,2002,,Tier 2,2501.4106
1408,FDZ48,17.75,LF,0.07607772,Baking Goods,112.4544,OUT049,1999,Medium,Tier 1,2348.9424
1410,FDZ31,15.35,Regular,0,Fruits and Vegetables,193.0504,OUT049,1999,Medium,Tier 1,2492.7552
1422,FDV39,11.3,Low Fat,0.007278512,Meat,196.7426,OUT035,2004,Small,Tier 2,2768.3964
1426,FDK38,6.65,Low Fat,0.053591345,Canned,149.7734,OUT017,2007,,Tier 2,2375.5744
1444,FDX33,9.195,Regular,0.117462619,Snack Foods,158.9578,OUT035,2004,Small,Tier 2,2246.4092
1447,FDM57,11.65,Regular,0.075849167,Snack Foods,85.1908,OUT046,1997,Small,Tier 1,2181.1608
1453,FDO46,9.6,Regular,0.014270394,Snack Foods,187.3872,OUT018,2009,Medium,Tier 3,2647.2208
1462,FDT32,19,Regular,0.066005186,Fruits and Vegetables,188.4214,OUT017,2007,,Tier 2,2826.321
1464,FDB60,9.3,Low Fat,0.028498354,Baking Goods,195.8136,OUT013,1987,High,Tier 3,2332.9632
1471,FDZ58,17.85,Low Fat,0.052166995,Snack Foods,121.7072,OUT035,2004,Small,Tier 2,2817.6656
1474,FDZ56,16.25,Low Fat,0.025789175,Fruits and Vegetables,166.9474,OUT045,2002,,Tier 2,2863.6058
1475,FDH50,15,Regular,0.161301097,Canned,185.1266,OUT013,1987,High,Tier 3,2213.1192
1477,DRH51,,Low Fat,0,Dairy,89.1856,OUT027,1985,Medium,Tier 3,2109.2544
1479,NCM06,7.475,Low Fat,0.076036381,Household,153.9656,OUT018,2009,Medium,Tier 3,2625.9152
1492,FDT21,7.42,Low Fat,0.020391845,Snack Foods,248.9092,OUT046,1997,Small,Tier 1,2241.0828
1496,FDX07,19.2,Regular,0.022914478,Fruits and Vegetables,181.195,OUT035,2004,Small,Tier 2,2380.235
1504,FDI53,8.895,Regular,0.137858955,Frozen Foods,162.1236,OUT049,1999,Medium,Tier 1,2577.9776
1505,FDW02,4.805,Regular,0.037668051,Dairy,126.7704,OUT013,1987,High,Tier 3,2628.5784
1522,NCS41,12.85,Low Fat,0.053527105,Health and Hygiene,185.1608,OUT049,1999,Medium,Tier 1,2388.8904
1533,FDL40,17.7,Low Fat,0.011660463,Frozen Foods,96.541,OUT018,2009,Medium,Tier 3,2220.443
1536,NCM18,,Low Fat,0.082440705,Household,61.3194,OUT027,1985,Medium,Tier 3,2043.3402
1540,FDI33,16.5,Low Fat,0.028579565,Snack Foods,90.3146,OUT017,2007,,Tier 2,2554.0088
1541,NCT06,17.1,Low Fat,0.038705317,Household,165.0842,OUT013,1987,High,Tier 3,2320.9788
1544,FDJ55,12.8,Regular,0.023626808,Meat,223.2404,OUT018,2009,Medium,Tier 3,2475.4444
1551,FDJ36,14.5,Regular,0.128459481,Baking Goods,102.0332,OUT049,1999,Medium,Tier 1,2050.664
1555,FDB08,6.055,Low Fat,0.031103357,Fruits and Vegetables,159.9578,OUT046,1997,Small,Tier 1,2727.7826
1556,FDX43,5.655,LF,0.085274988,Fruits and Vegetables,165.05,OUT046,1997,Small,Tier 1,2330.3
1573,NCL30,18.1,Low Fat,0.049016517,Household,128.7336,OUT049,1999,Medium,Tier 1,2173.1712
1576,FDS15,9.195,Regular,0.077995641,Meat,107.1596,OUT013,1987,High,Tier 3,2804.3496
1582,FDQ03,15,Regular,0.077949334,Meat,238.7248,OUT013,1987,High,Tier 3,2133.2232
1591,FDV57,15.25,Regular,0.065841719,Snack Foods,179.866,OUT013,1987,High,Tier 3,2696.49
1596,FDH32,,Low Fat,0.075691713,Fruits and Vegetables,98.241,OUT027,1985,Medium,Tier 3,2220.443
1604,FDW20,,Low Fat,0.024032484,Fruits and Vegetables,124.973,OUT027,1985,Medium,Tier 3,2463.46
1608,FDP26,7.785,Low Fat,0.139436695,Dairy,103.0306,OUT013,1987,High,Tier 3,2404.2038
1615,FDN31,11.5,Low Fat,0.073029341,Fruits and Vegetables,187.953,OUT045,2002,,Tier 2,2656.542
1617,FDE08,18.2,Low Fat,0.049520593,Fruits and Vegetables,147.3734,OUT018,2009,Medium,Tier 3,2375.5744
1630,NCP06,20.7,Low Fat,0.039405676,Household,149.8366,OUT018,2009,Medium,Tier 3,2267.049
1639,FDV22,14.85,Regular,0.009958941,Snack Foods,157.963,OUT045,2002,,Tier 2,2816.334
1644,NCY18,7.285,Low Fat,0.031214809,Household,177.1054,OUT045,2002,,Tier 2,2626.581
1669,NCO05,7.27,Low Fat,0.046822808,Health and Hygiene,99.3384,OUT017,2007,,Tier 2,2759.0752
1680,NCM17,,Low Fat,0.070791391,Health and Hygiene,46.4086,OUT027,1985,Medium,Tier 3,2007.387
1684,FDZ49,11,Regular,0.133145617,Canned,218.4798,OUT046,1997,Small,Tier 1,2203.798
1690,DRK47,7.905,Low Fat,0.064194304,Hard Drinks,229.4694,OUT045,2002,,Tier 2,2055.3246
1699,FDX45,16.75,Low Fat,0.104768536,Snack Foods,155.163,OUT013,1987,High,Tier 3,2972.797
1700,FDR35,12.5,Low Fat,0.020680499,Breads,197.2742,OUT013,1987,High,Tier 3,2587.9646
1703,FDN48,13.35,Low Fat,0.065082452,Baking Goods,93.0804,OUT045,2002,,Tier 2,2113.2492
1722,FDR46,16.85,Low Fat,0.139985583,Snack Foods,145.276,OUT018,2009,Medium,Tier 3,2490.092
1728,FDI40,11.5,reg,0.125857678,Frozen Foods,100.5358,OUT045,2002,,Tier 2,2111.2518
1729,FDQ11,5.695,Regular,0.067700925,Breads,256.5988,OUT046,1997,Small,Tier 1,2055.9904
1732,FDR46,16.85,Low Fat,0,Snack Foods,146.076,OUT017,2007,,Tier 2,2636.568
1734,FDQ52,17,Low Fat,0.119285634,Frozen Foods,247.4434,OUT013,1987,High,Tier 3,2980.1208
1741,FDT26,18.85,Regular,0.067953506,Dairy,119.044,OUT046,1997,Small,Tier 1,2396.88
1753,FDS58,9.285,Regular,0.021049215,Snack Foods,161.0578,OUT045,2002,,Tier 2,2406.867
1760,FDU55,16.2,Low Fat,0.036057562,Fruits and Vegetables,260.3278,OUT018,2009,Medium,Tier 3,2342.9502
1761,NCY18,7.285,Low Fat,0.031327839,Household,174.6054,OUT017,2007,,Tier 2,2976.7918
1766,FDP19,11.5,Low Fat,0,Fruits and Vegetables,128.4652,OUT049,1999,Medium,Tier 1,2841.6344
1767,DRN47,12.1,Low Fat,0.016852909,Hard Drinks,180.666,OUT049,1999,Medium,Tier 1,2876.256
1780,FDJ58,15.6,Regular,0.105725004,Snack Foods,169.9764,OUT018,2009,Medium,Tier 3,2748.4224
1782,FDA20,6.78,Low Fat,0.066997921,Fruits and Vegetables,186.524,OUT017,2007,,Tier 2,2609.936
1784,FDL38,,Regular,0.014661762,Canned,89.1172,OUT027,1985,Medium,Tier 3,2319.6472
1786,FDO40,17.1,Low Fat,0.032761024,Frozen Foods,148.8392,OUT018,2009,Medium,Tier 3,2087.9488
1788,FDM52,15.1,Low Fat,0.025988508,Frozen Foods,146.6076,OUT035,2004,Small,Tier 2,2364.9216
1791,FDF47,20.85,Low Fat,0.098170402,Starchy Foods,224.0746,OUT017,2007,,Tier 2,2243.746
1799,FDF16,7.3,Low Fat,0.086060695,Frozen Foods,149.8076,OUT013,1987,High,Tier 3,2808.3444
1803,FDT19,7.59,Regular,0.14492016,Fruits and Vegetables,174.708,OUT013,1987,High,Tier 3,2942.836
1806,NCV17,18.85,Low Fat,0.016104504,Health and Hygiene,130.2626,OUT035,2004,Small,Tier 2,2360.9268
1807,FDC17,12.15,LF,0.01544786,Frozen Foods,211.2928,OUT013,1987,High,Tier 3,2735.1064
1814,NCR54,16.35,Low Fat,0,Household,198.211,OUT035,2004,Small,Tier 2,2946.165
1825,FDC29,8.39,Regular,0.024342578,Frozen Foods,113.6176,OUT017,2007,,Tier 2,2862.94
1828,NCF42,17.35,Low Fat,0.168329848,Household,176.7712,OUT017,2007,,Tier 2,2812.3392
1833,NCM26,20.5,LF,0.023274107,Others,154.134,OUT017,2007,,Tier 2,2909.546
1842,FDC33,8.96,Regular,0.069219165,Fruits and Vegetables,196.5768,OUT018,2009,Medium,Tier 3,2759.0752
1843,FDO58,19.6,Low Fat,0.039569689,Snack Foods,165.9526,OUT035,2004,Small,Tier 2,2631.2416
1854,NCG30,20.2,LF,0.112321218,Household,123.6046,OUT046,1997,Small,Tier 1,2988.1104
1858,FDU60,20,Regular,0.059889718,Baking Goods,168.5132,OUT035,2004,Small,Tier 2,2874.9244
1861,FDB12,11.15,Regular,0.105736638,Baking Goods,104.4648,OUT018,2009,Medium,Tier 3,2181.1608
1866,FDG47,12.8,Low Fat,0.069560905,Starchy Foods,263.0252,OUT013,1987,High,Tier 3,2885.5772
1868,FDU20,19.35,Regular,0.021453493,Fruits and Vegetables,120.3098,OUT035,2004,Small,Tier 2,2530.7058
1870,FDW36,,LF,0.056656942,Baking Goods,106.2622,OUT027,1985,Medium,Tier 3,2328.9684
1877,DRF36,16.1,Low Fat,0.023577298,Soft Drinks,192.6846,OUT046,1997,Small,Tier 1,2866.269
1879,NCY54,8.43,Low Fat,0.177971115,Household,174.0422,OUT049,1999,Medium,Tier 1,2069.3064
1890,NCK54,12.15,Low Fat,0.029569276,Household,115.015,OUT049,1999,Medium,Tier 1,2912.875
1893,FDS25,6.885,Regular,0.1408005,Canned,111.4228,OUT017,2007,,Tier 2,2984.1156
1900,FDR55,12.15,Regular,0.132351411,Fruits and Vegetables,190.3872,OUT045,2002,,Tier 2,2836.308
1910,FDT58,9,Low Fat,0.08630486,Snack Foods,168.0816,OUT018,2009,Medium,Tier 3,2181.1608
1920,NCW18,15.1,Low Fat,0.059417055,Household,237.9248,OUT049,1999,Medium,Tier 1,2133.2232
1921,FDQ44,20.5,Low Fat,0.036287517,Fruits and Vegetables,121.2756,OUT018,2009,Medium,Tier 3,2181.1608
1922,FDL45,15.6,Low Fat,0.037764269,Snack Foods,124.9704,OUT045,2002,,Tier 2,2253.0672
1931,FDC05,13.1,Regular,0.098765906,Frozen Foods,196.3768,OUT035,2004,Small,Tier 2,2167.8448
1934,FDK08,,Regular,0.121712459,Fruits and Vegetables,101.2016,OUT027,1985,Medium,Tier 3,2631.2416
1935,DRD24,13.85,Low Fat,0.030769458,Soft Drinks,141.7154,OUT013,1987,High,Tier 3,2978.1234
1936,DRG48,5.78,Low Fat,0.014614357,Soft Drinks,147.3102,OUT018,2009,Medium,Tier 3,2332.9632
1939,NCH43,8.42,Low Fat,0.070555571,Household,216.0192,OUT035,2004,Small,Tier 2,2372.9112
1944,FDD35,12.15,Low Fat,0.025916883,Starchy Foods,120.244,OUT045,2002,,Tier 2,2277.036
1948,FDS23,4.635,Low Fat,0.141174838,Breads,127.0994,OUT045,2002,,Tier 2,2826.9868
1963,NCM53,18.75,Low Fat,0.052121825,Health and Hygiene,104.828,OUT049,1999,Medium,Tier 1,2343.616
1968,NCJ18,12.35,Low Fat,0.164274416,Household,119.8124,OUT045,2002,,Tier 2,2133.2232
1974,NCZ54,14.65,Low Fat,0.083528446,Household,162.4552,OUT045,2002,,Tier 2,2274.3728
1978,DRF13,12.1,Low Fat,0.029827665,Soft Drinks,144.3444,OUT049,1999,Medium,Tier 1,2612.5992
1982,FDM14,,Low Fat,0.013199737,Canned,108.9254,OUT027,1985,Medium,Tier 3,2713.135
1988,FDV50,14.3,Low Fat,0.122469209,Dairy,121.973,OUT013,1987,High,Tier 3,2709.806
2007,FDW56,7.68,Low Fat,0.071301323,Fruits and Vegetables,190.8162,OUT017,2007,,Tier 2,2693.8268
2011,NCL17,7.39,Low Fat,0.068163102,Health and Hygiene,140.4812,OUT017,2007,,Tier 2,2422.1804
2012,FDS13,6.465,Low Fat,0,Canned,263.1884,OUT018,2009,Medium,Tier 3,2914.8724
2013,FDB59,18.25,Low Fat,0.015309885,Snack Foods,197.6084,OUT045,2002,,Tier 2,2380.9008
2027,DRH36,16.2,Low Fat,0,Soft Drinks,73.4696,OUT013,1987,High,Tier 3,2087.9488
2028,FDB17,13.15,Low Fat,0.036729122,Frozen Foods,179.7976,OUT049,1999,Medium,Tier 1,2535.3664
2035,FDN16,12.6,Regular,0.063054947,Frozen Foods,102.399,OUT017,2007,,Tier 2,2270.378
2036,FDD47,7.6,Regular,0.142383847,Starchy Foods,172.3448,OUT035,2004,Small,Tier 2,2556.672
2055,FDW21,,Regular,0.005935001,Snack Foods,98.8358,OUT027,1985,Medium,Tier 3,2010.716
2058,FDG44,,Low Fat,0,Fruits and Vegetables,55.7298,OUT027,1985,Medium,Tier 3,2804.3496
2061,FDP34,12.85,LF,0.137786856,Snack Foods,157.763,OUT018,2009,Medium,Tier 3,2659.871
2081,NCO17,10,Low Fat,0.073794811,Health and Hygiene,121.444,OUT017,2007,,Tier 2,2516.724
2092,FDY19,19.75,Low Fat,0.041330512,Fruits and Vegetables,115.8466,OUT013,1987,High,Tier 3,2474.7786
2099,FDE04,19.75,Regular,0.018096488,Frozen Foods,179.566,OUT018,2009,Medium,Tier 3,2696.49
2102,FDD41,6.765,Regular,0.087753682,Frozen Foods,105.3306,OUT017,2007,,Tier 2,2090.612
2103,FDI45,13.1,Low Fat,0.037657459,Fruits and Vegetables,175.8054,OUT045,2002,,Tier 2,2801.6864
2105,FDW51,6.155,Regular,0.095195306,Meat,213.956,OUT017,2007,,Tier 2,2343.616
2122,FDS04,10.195,Regular,0.146662938,Frozen Foods,138.6838,OUT046,1997,Small,Tier 1,2388.2246
2131,FDQ10,12.85,Low Fat,0.03315162,Snack Foods,170.6422,OUT013,1987,High,Tier 3,2931.5174
2142,FDU49,19.5,Regular,0.03075661,Canned,86.254,OUT045,2002,,Tier 2,2163.85
2153,DRJ37,10.8,Low Fat,0.061101383,Soft Drinks,151.9024,OUT046,1997,Small,Tier 1,2580.6408
2157,NCY06,15.25,Low Fat,0.061308889,Household,128.8968,OUT045,2002,,Tier 2,2348.9424
2170,DRJ39,20.25,Low Fat,0.036474041,Dairy,218.3482,OUT018,2009,Medium,Tier 3,2409.5302
2171,FDW45,18,Low Fat,0.039231652,Snack Foods,145.1418,OUT017,2007,,Tier 2,2648.5524
2178,FDI07,12.35,reg,0.03382933,Meat,196.9426,OUT045,2002,,Tier 2,2768.3964
2179,DRJ24,11.8,Low Fat,0.11397026,Soft Drinks,185.1924,OUT017,2007,,Tier 2,2591.2936
2189,FDR58,6.675,Low Fat,0.041921462,Snack Foods,92.3462,OUT046,1997,Small,Tier 1,2406.2012
2190,FDL24,10.3,Regular,0.024875871,Baking Goods,173.0422,OUT013,1987,High,Tier 3,2069.3064
2199,FDZ01,8.975,Regular,0.009058845,Canned,103.399,OUT046,1997,Small,Tier 1,2579.975
2204,FDJ44,12.3,Regular,0.106327251,Fruits and Vegetables,172.8396,OUT046,1997,Small,Tier 1,2616.594
2210,FDD56,15.2,Regular,0.104201019,Fruits and Vegetables,176.5054,OUT018,2009,Medium,Tier 3,2976.7918
2211,FDR52,12.65,Regular,0.076198809,Frozen Foods,191.3846,OUT045,2002,,Tier 2,2675.1844
2217,DRD25,6.135,Low Fat,0.079132212,Soft Drinks,112.686,OUT045,2002,,Tier 2,2942.836
2219,FDL33,7.235,Low Fat,0.10016525,Snack Foods,193.9452,OUT045,2002,,Tier 2,2936.178
2222,DRE49,20.75,Low Fat,0,Soft Drinks,153.0024,OUT035,2004,Small,Tier 2,2428.8384
2224,NCB54,8.76,Low Fat,0.050130529,Health and Hygiene,128.3336,OUT049,1999,Medium,Tier 1,2556.672
2226,FDA31,7.1,Low Fat,0.109990885,Fruits and Vegetables,172.908,OUT035,2004,Small,Tier 2,2769.728
2231,NCX18,14.15,Low Fat,0.008811818,Household,196.511,OUT045,2002,,Tier 2,2749.754
2235,FDE17,20.1,Regular,0.054410179,Frozen Foods,151.3366,OUT013,1987,High,Tier 3,2720.4588
2238,FDB49,8.3,Regular,0.030212499,Baking Goods,98.0384,OUT045,2002,,Tier 2,2857.6136
2242,FDU23,12.15,Low Fat,0.021811987,Breads,163.6184,OUT018,2009,Medium,Tier 3,2311.6576
2248,FDX20,7.365,Low Fat,0.04280099,Fruits and Vegetables,228.372,OUT017,2007,,Tier 2,2037.348
2265,FDN02,16.5,Low Fat,0.073977473,Canned,206.8638,OUT045,2002,,Tier 2,2070.638
2266,FDP37,15.6,Low Fat,0.143396175,Breakfast,128.0994,OUT045,2002,,Tier 2,2184.4898
2269,FDO23,,Low Fat,0.14571827,Breads,94.3436,OUT027,1985,Medium,Tier 3,2269.0464
2284,FDD20,14.15,LF,0.020714523,Fruits and Vegetables,124.2046,OUT046,1997,Small,Tier 1,2490.092
2291,FDS11,7.05,Regular,0.055644887,Breads,224.9088,OUT049,1999,Medium,Tier 1,2684.5056
2293,DRL60,8.52,Low Fat,0.027101431,Soft Drinks,151.7682,OUT049,1999,Medium,Tier 1,2439.4912
2295,FDV09,12.1,Low Fat,0.020652362,Snack Foods,149.5734,OUT018,2009,Medium,Tier 3,2227.101
2305,DRG37,16.2,Low Fat,0.019374768,Soft Drinks,155.8972,OUT035,2004,Small,Tier 2,2025.3636
2312,FDW28,18.25,Low Fat,0.088807455,Frozen Foods,197.3452,OUT035,2004,Small,Tier 2,2740.4328
2315,FDQ12,12.65,Low Fat,0.035404052,Baking Goods,230.601,OUT035,2004,Small,Tier 2,2067.309
2319,FDF26,6.825,Regular,0.046729336,Canned,153.4998,OUT045,2002,,Tier 2,2153.1972
2324,FDB02,9.695,Regular,0.029223424,Canned,175.437,OUT045,2002,,Tier 2,2999.429
2327,DRI23,,Low Fat,0.136532569,Hard Drinks,159.6578,OUT027,1985,Medium,Tier 3,2888.2404
2328,FDE04,19.75,Regular,0.018051091,Frozen Foods,179.866,OUT049,1999,Medium,Tier 1,2696.49
2331,NCJ05,,LF,0.045865089,Health and Hygiene,152.3682,OUT027,1985,Medium,Tier 3,2287.023
2336,FDT07,5.82,reg,0,Fruits and Vegetables,256.633,OUT049,1999,Medium,Tier 1,2050.664
2338,FDI41,18.5,Regular,0.062256921,Frozen Foods,148.0418,OUT046,1997,Small,Tier 1,2059.9852
2352,FDD02,16.6,LF,0,Canned,118.8124,OUT046,1997,Small,Tier 1,2607.2728
2354,FDL39,16.1,Regular,0.063429818,Dairy,179.4318,OUT049,1999,Medium,Tier 1,2345.6134
2362,DRG23,,Low Fat,0.086360962,Hard Drinks,151.2682,OUT027,1985,Medium,Tier 3,2439.4912
2371,FDU20,19.35,Regular,0.021501067,Fruits and Vegetables,122.2098,OUT045,2002,,Tier 2,2771.7254
2396,FDZ10,17.85,Low Fat,0.044463491,Snack Foods,127.102,OUT046,1997,Small,Tier 1,2024.032
2400,FDV38,,Low Fat,0.101281,Dairy,55.0956,OUT027,1985,Medium,Tier 3,2020.0372
2405,NCP43,17.75,Low Fat,0.030568919,Others,177.866,OUT045,2002,,Tier 2,2336.958
2410,NCN26,10.85,Low Fat,0.028679894,Household,115.1808,OUT046,1997,Small,Tier 1,2109.2544
2414,FDZ35,9.6,Regular,0.022404493,Breads,102.499,OUT017,2007,,Tier 2,2579.975
2420,FDW37,19.2,Low Fat,0.124301968,Canned,89.7488,OUT045,2002,,Tier 2,2082.6224
2421,FDY33,14.5,Regular,0.097201128,Snack Foods,159.4262,OUT046,1997,Small,Tier 1,2705.1454
2424,NCB18,19.6,Low Fat,0.041256807,Household,88.8514,OUT013,1987,High,Tier 3,2125.2336
2427,NCV41,14.35,Low Fat,0.017024598,Health and Hygiene,109.8228,OUT013,1987,High,Tier 3,2099.9332
2434,FDK03,12.6,Regular,0.073920438,Dairy,255.6356,OUT046,1997,Small,Tier 1,2797.6916
2436,NCM07,,Low Fat,0.03976832,Others,83.9908,OUT027,1985,Medium,Tier 3,2348.9424
2439,FDI56,7.325,Low Fat,0.093307668,Fruits and Vegetables,92.7146,OUT013,1987,High,Tier 3,2006.7212
2445,FDA27,20.35,Regular,0.031102571,Dairy,257.2672,OUT017,2007,,Tier 2,2045.3376
2447,FDR09,18.25,Low Fat,0.078041216,Snack Foods,258.4962,OUT018,2009,Medium,Tier 3,2848.9582
2455,NCQ53,17.6,Low Fat,0.018982338,Health and Hygiene,237.059,OUT018,2009,Medium,Tier 3,2836.308
2463,FDV37,13,Regular,0.083643716,Canned,196.0426,OUT049,1999,Medium,Tier 1,2570.6538
2464,FDX07,19.2,Regular,0.022965292,Fruits and Vegetables,181.695,OUT045,2002,,Tier 2,2563.33
2465,DRG48,5.78,Low Fat,0.014584584,Soft Drinks,146.3102,OUT045,2002,,Tier 2,2187.153
2466,FDF44,7.17,Regular,0.059716729,Fruits and Vegetables,130.9968,OUT035,2004,Small,Tier 2,2348.9424
2474,FDK58,11.35,Regular,0,Snack Foods,103.0016,OUT035,2004,Small,Tier 2,2125.2336
2481,NCE54,,Low Fat,0.026769592,Household,77.0354,OUT027,1985,Medium,Tier 3,2332.2974
2500,NCO02,11.15,Low Fat,0.073354286,Others,66.8142,OUT035,2004,Small,Tier 2,2372.9112
2503,FDB49,8.3,Regular,0.030198228,Baking Goods,98.2384,OUT049,1999,Medium,Tier 1,2167.8448
2504,FDY44,14.15,Regular,0.024442501,Fruits and Vegetables,196.411,OUT049,1999,Medium,Tier 1,2749.754
2509,FDT32,19,Regular,0.065735977,Fruits and Vegetables,189.6214,OUT049,1999,Medium,Tier 1,2826.321
2513,FDL04,,Low Fat,0.111381428,Frozen Foods,106.7622,OUT027,1985,Medium,Tier 3,2964.1416
2514,FDO58,19.6,Low Fat,0.039738393,Snack Foods,163.7526,OUT018,2009,Medium,Tier 3,2960.1468
2519,FDN45,19.35,Low Fat,0.118102769,Snack Foods,224.8088,OUT046,1997,Small,Tier 1,2013.3792
2525,FDR27,15.1,Regular,0.096249842,Meat,134.4942,OUT049,1999,Medium,Tier 1,2119.9072
2527,DRZ24,,Low Fat,0,Soft Drinks,121.044,OUT027,1985,Medium,Tier 3,2396.88
2536,NCT42,5.88,Low Fat,0.024937792,Household,148.4392,OUT045,2002,,Tier 2,2087.9488
2538,DRB25,,Low Fat,0.06912336,Soft Drinks,106.0938,OUT027,1985,Medium,Tier 3,2787.0388
2539,NCY30,20.25,LF,0.025953257,Household,179.5976,OUT046,1997,Small,Tier 1,2535.3664
2546,FDD41,6.765,Regular,0.087260103,Frozen Foods,105.0306,OUT046,1997,Small,Tier 1,2090.612
2552,FDK56,9.695,Low Fat,0,Fruits and Vegetables,185.1898,OUT035,2004,Small,Tier 2,2619.2572
2553,NCL18,18.85,Low Fat,0.16758389,Household,194.6136,OUT046,1997,Small,Tier 1,2721.7904
2567,FDJ48,11.3,Low Fat,0.056424146,Baking Goods,247.8118,OUT035,2004,Small,Tier 2,2223.1062
2568,FDV21,,Low Fat,0.170254469,Snack Foods,124.8704,OUT027,1985,Medium,Tier 3,2127.8968
2579,FDU22,12.35,Low Fat,0.093278912,Snack Foods,118.7124,OUT035,2004,Small,Tier 2,2607.2728
2583,NCN42,20.25,Low Fat,0.014251461,Household,148.6418,OUT045,2002,,Tier 2,2648.5524
2589,FDQ16,19.7,Low Fat,0.041730507,Frozen Foods,109.2912,OUT035,2004,Small,Tier 2,2402.2064
2615,NCB54,8.76,Low Fat,0.050256604,Health and Hygiene,127.3336,OUT018,2009,Medium,Tier 3,2684.5056
2623,FDJ08,11.1,Low Fat,0.11089655,Fruits and Vegetables,191.5846,OUT045,2002,,Tier 2,2101.9306
2624,NCK18,9.6,Low Fat,0.006708517,Household,164.6184,OUT049,1999,Medium,Tier 1,2972.1312
2630,FDH38,6.425,Low Fat,0.010497273,Canned,118.3808,OUT017,2007,,Tier 2,2812.3392
2632,FDF17,5.19,Low Fat,0.042687151,Frozen Foods,195.911,OUT049,1999,Medium,Tier 1,2946.165
2641,FDT33,7.81,Regular,0.034043503,Snack Foods,168.7158,OUT049,1999,Medium,Tier 1,2673.8528
2654,NCS53,14.5,Low Fat,0.089778187,Health and Hygiene,158.4604,OUT046,1997,Small,Tier 1,2693.8268
2655,FDK38,6.65,Low Fat,0.053372768,Canned,149.5734,OUT049,1999,Medium,Tier 1,2524.0478
2660,FDP19,11.5,Low Fat,0,Fruits and Vegetables,129.3652,OUT013,1987,High,Tier 3,2066.6432
2664,NCE07,,Low Fat,0.013066448,Household,140.9154,OUT027,1985,Medium,Tier 3,2127.231
2665,FDI16,,reg,0.135118202,Frozen Foods,52.564,OUT027,1985,Medium,Tier 3,2290.352
2670,FDW09,,Regular,0.025795293,Snack Foods,80.2302,OUT027,1985,Medium,Tier 3,2139.2154
2678,FDW60,5.44,Regular,0.017047751,Baking Goods,174.637,OUT013,1987,High,Tier 3,2999.429
2684,NCQ18,15.75,Low Fat,0.134960397,Household,101.37,OUT013,1987,High,Tier 3,2097.27
2690,FDN34,15.6,Regular,0.045835395,Snack Foods,168.2132,OUT049,1999,Medium,Tier 1,2367.5848
2691,FDS45,5.175,Regular,0.029616108,Snack Foods,107.7622,OUT018,2009,Medium,Tier 3,2011.3818
2701,NCB18,19.6,Low Fat,0.041355366,Household,88.7514,OUT049,1999,Medium,Tier 1,2656.542
2706,NCS18,12.65,Low Fat,0.042175992,Household,106.4938,OUT013,1987,High,Tier 3,2465.4574
2715,FDB32,20.6,Low Fat,0.023448504,Fruits and Vegetables,93.9778,OUT035,2004,Small,Tier 2,2816.334
2717,FDY44,14.15,Regular,0.024404558,Fruits and Vegetables,198.311,OUT046,1997,Small,Tier 1,2553.343
2725,FDS23,4.635,Low Fat,0.141108156,Breads,128.2994,OUT049,1999,Medium,Tier 1,2698.4874
